Country,State,State type,Date,Category,Subcategory,Variable,Unit,Value
India,Andaman and Nicobar,Union territory,01-01-2019,Capacity,Aggregate fuel,Clean,MW,
India,Andaman and Nicobar,Union territory,01-01-2019,Capacity,Aggregate fuel,Fossil,MW,
India,Andaman and Nicobar,Union territory,01-01-2019,Capacity,Aggregate fuel,Gas and Other Fossil,MW,
India,Andaman and Nicobar,Union territory,01-01-2019,Capacity,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",MW,
India,Andaman and Nicobar,Union territory,01-01-2019,Capacity,Aggregate fuel,Renewables,MW,
India,Andaman and Nicobar,Union territory,01-01-2019,Capacity,Aggregate fuel,Wind and Solar,MW,
India,Andaman and Nicobar,Union territory,01-01-2019,Capacity,Fuel,Bioenergy,MW,
India,Andaman and Nicobar,Union territory,01-01-2019,Capacity,Fuel,Coal,MW,
India,Andaman and Nicobar,Union territory,01-01-2019,Capacity,Fuel,Gas,MW,
India,Andaman and Nicobar,Union territory,01-01-2019,Capacity,Fuel,Hydro,MW,
India,Andaman and Nicobar,Union territory,01-01-2019,Capacity,Fuel,Nuclear,MW,
India,Andaman and Nicobar,Union territory,01-01-2019,Capacity,Fuel,Other Fossil,MW,
India,Andaman and Nicobar,Union territory,01-01-2019,Capacity,Fuel,Other Renewables,MW,
India,Andaman and Nicobar,Union territory,01-01-2019,Capacity,Fuel,Solar,MW,
India,Andaman and Nicobar,Union territory,01-01-2019,Capacity,Fuel,Wind,MW,
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Aggregate fuel,Clean,%,27.11
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Aggregate fuel,Fossil,%,72.88
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,72.88
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,11.86
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Aggregate fuel,Renewables,%,27.11
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Aggregate fuel,Wind and Solar,%,15.25
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Aggregate fuel,Clean,GWh,2.56
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Aggregate fuel,Fossil,GWh,6.88
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Aggregate fuel,Gas and Other Fossil,GWh,6.88
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",GWh,1.12
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Aggregate fuel,Renewables,GWh,2.56
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Aggregate fuel,Wind and Solar,GWh,1.44
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Bioenergy,%,0
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Coal,%,0
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Gas,%,0
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Hydro,%,11.86
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Nuclear,%,0
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Other Fossil,%,72.88
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Other Renewables,%,0
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Solar,%,15.25
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Wind,%,0
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Bioenergy,GWh,0
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Coal,GWh,0
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Gas,GWh,0
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Hydro,GWh,1.12
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Nuclear,GWh,0
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Other Fossil,GWh,6.88
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Other Renewables,GWh,0
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Solar,GWh,1.44
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Fuel,Wind,GWh,0
India,Andaman and Nicobar,Union territory,01-01-2019,Electricity generation,Total,Total Generation,GWh,9.44
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Aggregate fuel,Clean,%,0.1
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Aggregate fuel,Fossil,%,4.82
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Aggregate fuel,Gas and Other Fossil,%,4.82
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,0.03
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Aggregate fuel,Renewables,%,0.1
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Aggregate fuel,Wind and Solar,%,0.07
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Aggregate fuel,Clean,ktCO2,0.1
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Aggregate fuel,Fossil,ktCO2,4.82
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Aggregate fuel,Gas and Other Fossil,ktCO2,4.82
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",ktCO2,0.03
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Aggregate fuel,Renewables,ktCO2,0.1
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Aggregate fuel,Wind and Solar,ktCO2,0.07
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,521.19
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Bioenergy,%,0
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Coal,%,0
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Gas,%,0
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Hydro,%,0.03
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Nuclear,%,0
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Other Fossil,%,4.82
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Other Renewables,%,0
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Solar,%,0.07
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Wind,%,0
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Bioenergy,ktCO2,0
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Coal,ktCO2,0
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Gas,ktCO2,0
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Hydro,ktCO2,0.03
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Nuclear,ktCO2,0
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Other Fossil,ktCO2,4.82
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Other Renewables,ktCO2,0
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Solar,ktCO2,0.07
India,Andaman and Nicobar,Union territory,01-01-2019,Power sector emissions,Fuel,Wind,ktCO2,0
